,Unnamed: 0,Study no.,Filename,Title,Doi,Study id.,index,title,publication_type,n_citations,volume,issue,first_page,last_page,n_pages
10,346,41,1. Aid and Growth journals.xlsx,Public choice and economic aid,https://doi.org/10.1086/451815,16741,10.1086/451815,Public Choice and Economic Aid,full_text,12,38,3,559,575,16
11,387,44,1. Aid and Growth journals.xlsx,Aid instability as a measure of uncertainty and the positive impact of aid on growth,https://doi.org/10.1080/00220380008422627,17570,10.1080/00220380008422627,Aid instability as a measure of uncertainty and the positive impact of aid on growth,full_text,169,36,3,31,49,18
12,403,45,1. Aid and Growth journals.xlsx,Are there negative returns to aid?,https://doi.org/10.1080/713601082,17844,10.1080/713601082,Are There Negative Returns to Aid?,full_text,161,37,6,42,65,23
13,410,46,1. Aid and Growth journals.xlsx,Aid and Growth in Sub-Saharan Africa,https://doi.org/10.1016/0014-2921(88)90085-2,18103,10.1016/0014-2921(88)90085-2,Aid and growth in Sub-Saharan Africa: The recent experience,full_text,73,32,9,1777,1795,18
14,568,60,1. Aid and Growth journals.xlsx,Roles of bilateral and multilateral aid in economic growth of developing countries,https://doi.org/10.1111/1467-6435.00211,21137,10.1111/1467-6435.00211,Roles of Bilateral and Multilateral Aid in Economic Growth of Developing Countries,full_text,49,56,1,95,110,15
15,617,65,1. Aid and Growth journals.xlsx,Donor bias towards small countries: an overlooked factor in the analysis of foreign aid and economic growth,https://doi.org/10.1080/00036849300000056,22032,10.1080/00036849300000056,Donor bias towards small countries: an overlooked factor in the analysis of foreign aid and economic growth,full_text,16,25,4,481,488,7
16,629,66,1. Aid and Growth journals.xlsx,Foreign capital and economic growth,https://doi.org/10.1016/0305-750X(75)90005-4,22196,10.1016/0305-750X(75)90005-4,Foreign capital and economic growth,full_text,57,3,1,11,26,15
17,640,67,1. Aid and Growth journals.xlsx,"Aid, growth and democracy",https://doi.org/10.1111/1468-0343.00062,22355,10.1111/1468-0343.00062,"Aid, Growth and Democracy",abstract_only,200,11,3,275,297,22
18,666,70,1. Aid and Growth journals.xlsx,"Aid, Policies, and Growth in Developing Countries: A New Look at the Empirics",https://doi.org/10.1002/j.2325-8012.2008.tb00859.x,22816,10.1002/j.2325-8012.2008.tb00859.x,"Aid, Policies, and Growth in Developing Countries: A New Look at the Empirics",full_text,31,74,3,693,706,13
19,803,81,1. Aid and Growth journals.xlsx,Impacts of foreign aid to Melanesia.,https://doi.org/10.1080/13547860601083603,24350,10.1080/13547860601083603,Impacts of Foreign Aid to Melanesia,full_text,16,12,1,34,60,26
20,821,82,1. Aid and Growth journals.xlsx,The impact of foreign aid on economic growth in Papua New Guinea,https://doi.org/10.1080/00220380500155403,24479,10.1080/00220380500155403,The Impact of Foreign Aid on Economic Growth in Papua New Guinea,full_text,46,41,6,1092,1117,25
21,931,89,1. Aid and Growth journals.xlsx,Foreign aid and long-run economic growth: empirical evidence for a panel of developing countries,https://doi.org/10.1002/jid.1187,25307,10.1002/jid.1187,Foreign aid and long-run economic growth: empirical evidence for a panel of developing countries,full_text,59,18,1,15,28,13
22,998,92,1. Aid and Growth journals.xlsx,Is the relationship between aid and economic growth nonlinear?,https://doi.org/10.1016/j.jmacro.2007.02.007,25656,10.1016/j.jmacro.2007.02.007,Is the relationship between aid and economic growth nonlinear?,full_text,18,29,3,515,540,25
23,1032,96,1. Aid and Growth journals.xlsx,Development aid and economic growth: A positive long-run relation,https://doi.org/10.1016/j.qref.2009.10.004,26083,10.1016/j.qref.2009.10.004,Development aid and economic growth: A positive long-run relation,full_text,130,50,1,27,39,12
24,1202,102,1. Aid and Growth journals.xlsx,Aid and growth: What does the cross-country evidence really show?,https://doi.org/10.1162/rest.90.4.643,26697,10.1162/rest.90.4.643,Aid and Growth: What Does the Cross-Country Evidence Really Show?,full_text,525,90,4,643,665,22
25,1364,110,1. Aid and Growth journals.xlsx,Aid effectiveness: the role of the local elite,https://doi.org/10.1016/j.jdeveco.2008.05.002,27416,10.1016/j.jdeveco.2008.05.002,Aid effectiveness: the role of the local elite,full_text,48,90,1,120,134,14
26,1458,114,1. Aid and Growth journals.xlsx,Foreign aid and economic growth: New evidence from a panel data approach for five South Asian countries,https://doi.org/10.1016/j.jpolmod.2008.04.012,27753,10.1016/j.jpolmod.2008.04.012,Foreign aid and economic growth: New evidence from a panel data approach for five South Asian countries,full_text,54,31,1,155,161,6
27,1559,120,1. Aid and Growth journals.xlsx,"Growth, debt burdens and alleviating effects of foreign aid in least developed countries",https://doi.org/10.1016/j.ejpoleco.2010.08.003,28249,10.1016/j.ejpoleco.2010.08.003,"Growth, debt burdens and alleviating effects of foreign aid in least developed countries",full_text,17,27,1,143,153,10
28,1591,122,1. Aid and Growth journals.xlsx,Aid and growth: A study of South East Asia,https://doi.org/10.1016/j.asieco.2006.02.006,28418,10.1016/j.asieco.2006.02.006,Aid and growth: A study of South East Asia,full_text,21,17,2,350,362,12
29,1636,128,1. Aid and Growth journals.xlsx,Aid with multiple personalities,https://doi.org/10.1016/j.jce.2008.09.005,28900,10.1016/j.jce.2008.09.005,Aid with multiple personalities,full_text,65,37,2,217,229,12
30,1715,133,1. Aid and Growth journals.xlsx,The impact of aid on growth revisited: Do donor motives matter?,https://doi.org/10.1016/j.econlet.2010.02.015,29282,10.1016/j.econlet.2010.02.015,The impact of aid on growth revisited: Do donor motives matter?,full_text,52,107,3,338,340,2
31,1737,138,1. Aid and Growth journals.xlsx,The allocation of volatile aid and economic growth: Theory and evidence,https://doi.org/10.1016/j.ejpoleco.2009.05.001,29669,10.1016/j.ejpoleco.2009.05.001,The allocation of volatile aid and economic growth: Theory and evidence,full_text,37,25,4,447,462,15
32,1776,141,1. Aid and Growth journals.xlsx,,https://doi.org/10.1080/00220388.2010.492856,29895,10.1080/00220388.2010.492856,Aid and Sectoral Growth: Evidence from Panel Data,full_text,24,46,10,1749,1766,17
33,1919,142,1. Aid and Growth journals.xlsx,Aid and growth: What does the cross-country evidence really show?,https://doi.org/10.1162/rest.90.4.643,29975,10.1162/rest.90.4.643,Aid and Growth: What Does the Cross-Country Evidence Really Show?,full_text,525,90,4,643,665,22
34,1957,9,10. Stian Inflation and Gov Popularity journal.xlsx,A Politico-Economic Model of the United Kingdom,https://doi.org/10.2307/2232128,4310,10.2307/2232128,A Politico-Economic Model of the United Kingdom,full_text,198,88,350,243,,
35,1964,13,10. Stian Inflation and Gov Popularity journal.xlsx,POLITICAL ECONOMY,https://doi.org/10.1111/j.1467-9248.1970.tb00659.x,6318,10.1111/j.1467-9248.1970.tb00659.x,Political Economy,full_text,210,18,1,43,106,63
36,2017,20,10. Stian Inflation and Gov Popularity journal.xlsx,The political theory of the business cycle,https://doi.org/10.1016/S0014-2921(82)80016-0,9494,10.1016/S0014-2921(82)80016-0,The political theory of the business cycle,full_text,41,17,2,253,270,17
37,2045,21,10. Stian Inflation and Gov Popularity journal.xlsx,"Images of the ‘Floating Voter’: Or, the ‘Political Business Cycle’ Revisited",https://doi.org/10.1111/j.1467-9248.1978.tb01300.x,9917,10.1111/j.1467-9248.1978.tb01300.x,"Images of the ‘Floating Voter’: Or, the ‘Political Business Cycle’ Revisited",full_text,25,26,3,375,394,19
38,2147,34,10. Stian Inflation and Gov Popularity journal.xlsx,"The real economy and the perceived economy in popularity functions: how much do voters need to know?: A study of British data, 1974–97",https://doi.org/10.1016/S0261-3794(99)00052-9,14656,10.1016/S0261-3794(99)00052-9,The real economy and the perceived economy in popularity functions: how much do voters need to know?,full_text,87,19,2-3,275,294,19
39,2187,1,105. Castellacci Lie 2015 Do the effects of R&D tax credits vary across industries journals.xlsx,Is a higher rate of R&D tax credit a panacea for low levels of R&D in disadvantaged regions?,https://doi.org/10.1016/j.respol.2008.10.016,3,10.1016/j.respol.2008.10.016,Is a higher rate of R&D tax credit a panacea for low levels of R&D in disadvantaged regions?,full_text,40,38,1,192,205,13
40,2195,3,105. Castellacci Lie 2015 Do the effects of R&D tax credits vary across industries journals.xlsx,Effectiveness of R&D tax incentives in small and large enterprises in Quèbec,https://doi.org/10.1007/s11187-009-9180-z,1080,10.1007/s11187-009-9180-z,Effectiveness of R&D tax incentives in small and large enterprises in Québec,full_text,54,33,1,91,107,16
41,2209,5,105. Castellacci Lie 2015 Do the effects of R&D tax credits vary across industries journals.xlsx,Tax incentives and R&D activity: Firm-level evidence from Taiwan,https://doi.org/10.1016/j.respol.2012.04.006,2179,10.1016/j.respol.2012.04.006,Tax incentives and R&D activity: Firm-level evidence from Taiwan,full_text,65,41,9,1578,1588,10
42,2238,9,105. Castellacci Lie 2015 Do the effects of R&D tax credits vary across industries journals.xlsx,Does R&D Tax Credit Affect R&D Expenditure? The Japanese Tax Credit Reform in 2003,https://doi.org/10.1016/j.jjie.2013.10.005,4311,10.1016/j.jjie.2013.10.005,Does an R&D tax credit affect R&D expenditure? The Japanese R&D tax credit reform in 2003,full_text,20,31,,72,97,25
43,2459,21,105. Castellacci Lie 2015 Do the effects of R&D tax credits vary across industries journals.xlsx,R&D Tax Policy during the 1980s: Sucess or Failure?,https://doi.org/10.1086/tpe.7.20060628,9918,10.1086/tpe.7.20060628,R&D Tax Policy during the 1980s: Success or Failure?,full_text,99,7,,1,35,34
44,2485,26,105. Castellacci Lie 2015 Do the effects of R&D tax credits vary across industries journals.xlsx,Some tests of the incentive effects of the research and experimentation tax credit,https://doi.org/10.1016/0047-2727(92)90020-G,11876,10.1016/0047-2727(92)90020-G,Some tests of the incentive effects of the research and experimentation tax credit,full_text,28,49,2,203,218,15
45,2580,1,106. Santeramo & Shabnam 2015 The income-elasticity of calories journals.xlsx,More Evidence on Nutrition Demand: Income seems Overrated and Women's scholling Underemphasized,https://doi.org/10.1016/0304-3878(84)90045-2,4,10.1016/0304-3878(84)90045-2,More evidence on nutrition demand,full_text,94,14,1,105,128,23
46,2581,2,106. Santeramo & Shabnam 2015 The income-elasticity of calories journals.xlsx,Will Developing Country Nutrition Improve with Income? A case Study for Rural South India,https://doi.org/10.1086/261469,540,10.1086/261469,Will Developing Country Nutrition Improve with Income? A Case Study for Rural South India,full_text,191,95,3,492,507,15
47,2583,3,106. Santeramo & Shabnam 2015 The income-elasticity of calories journals.xlsx,"The Intrahousehold Demand for Nutrients in Rural South India: Individual estimates, Fixed effects, and permanent Income.",https://doi.org/10.2307/145671,1081,10.2307/145671,"The Intrahousehold Demand for Nutrients in Rural South India: Individual Estimates, Fixed Effects, and Permanent Income",full_text,121,25,4,665,,
48,2585,5,106. Santeramo & Shabnam 2015 The income-elasticity of calories journals.xlsx,The Demand for Food and Calories,https://doi.org/10.1086/262020,2180,10.1086/262020,The Demand for Food and Calories,full_text,276,104,1,133,162,29
49,2632,6,12. Natural disasters authors - Indirect.xlsx,The macroeconomic consequences of disasters,https://doi.org/10.1016/j.jdeveco.2008.02.005,2730,10.1016/j.jdeveco.2008.02.005,The macroeconomic consequences of disasters,full_text,578,88,2,221,231,10
50,2680,13,12. Natural disasters authors - Indirect.xlsx,"The death toll from natural disasters: the role of income, geography, and institutions",https://doi.org/10.1162/0034653053970339,6321,10.1162/0034653053970339,"The Death Toll from Natural Disasters: The Role of Income, Geography, and Institutions",full_text,699,87,2,271,284,13
51,2705,18,12. Natural disasters authors - Indirect.xlsx,Does rising income increase or decrease damage risk from natural disasters?,https://doi.org/10.1016/j.jue.2007.05.003,8643,10.1016/j.jue.2007.05.003,Does rising income increase or decrease damage risk from natural disasters?,full_text,244,63,3,788,802,14
52,2800,33,12. Natural disasters authors - Indirect.xlsx,DO NATURAL DISASTERS PROMOTE LONG-RUN GROWTH?,https://doi.org/10.1093/ei/40.4.664,14338,10.1093/ei/40.4.664,DO NATURAL DISASTERS PROMOTE LONG-RUN GROWTH?,full_text,510,40,4,664,687,23
53,2844,34,12. Natural disasters authors - Indirect.xlsx,"The open society assesses its enemies: shocks, disasters and terrorist attacks",https://doi.org/10.1016/j.jmoneco.2004.04.009,14657,10.1016/j.jmoneco.2004.04.009,"The open society assesses its enemies: shocks, disasters and terrorist attacks",full_text,198,51,5,1039,1070,31
54,2889,38,12. Natural disasters authors - Indirect.xlsx,Natural Disasters and Growth: Going Beyond the Averages,https://doi.org/10.1016/j.worlddev.2012.03.002,15860,10.1016/j.worlddev.2012.03.002,Natural Disasters and Growth: Going Beyond the Averages,full_text,320,40,7,1317,1336,19
55,2929,39,12. Natural disasters authors - Indirect.xlsx,The Economic Growth Impact of Hurricanes: Evidence from U.S. Coastal Counties,https://doi.org/10.1162/REST_a_00082,16158,10.1162/REST_a_00082,The Economic Growth Impact of Hurricanes: Evidence from U.S. Coastal Counties,full_text,233,93,2,575,589,14
56,2939,42,12. Natural disasters authors - Indirect.xlsx,Catastrophic natural disasters and economic growth,https://doi.org/10.1162/REST_a_00413,17017,10.1162/REST_a_00413,Catastrophic Natural Disasters and Economic Growth,full_text,529,95,5,1549,1561,12
57,2975,48,12. Natural disasters authors - Indirect.xlsx,Earthquake fatalities: the interaction of nature and political economy,https://doi.org/10.1016/j.jpubeco.2004.08.002,18597,10.1016/j.jpubeco.2004.08.002,Earthquake fatalities: the interaction of nature and political economy,full_text,193,89,9-10,1907,1933,26
58,2987,49,12. Natural disasters authors - Indirect.xlsx,Public sector corruption and major earthquakes: A potentially deadly interaction,https://doi.org/10.1007/s11127-007-9148-y,18835,10.1007/s11127-007-9148-y,Public sector corruption and major earthquakes: A potentially deadly interaction,full_text,112,132,1-2,209,230,21
59,3007,88,12. Natural disasters authors - Indirect.xlsx,The economics of natural disasters in a developing country: The case of Vietnam,https://doi.org/10.1016/j.asieco.2010.03.002,25194,10.1016/j.asieco.2010.03.002,The economics of natural disasters in a developing country: The case of Vietnam,full_text,102,21,4,345,354,9
60,3179,101,12. Natural disasters authors - Indirect.xlsx,n analysis of coastal and inland fatalities in landfalling US hurricanes.,https://doi.org/10.1007/s11069-011-9849-x,26599,10.1007/s11069-011-9849-x,An analysis of coastal and inland fatalities in landfalling US hurricanes,full_text,51,59,3,1513,1531,18
61,3185,103,12. Natural disasters authors - Indirect.xlsx,Earthquake Propensity and the Politics of Mortality Prevention,https://doi.org/10.1016/j.worlddev.2011.02.010,26785,10.1016/j.worlddev.2011.02.010,Earthquake Propensity and the Politics of Mortality Prevention,full_text,93,39,9,1530,1541,11
62,3195,104,12. Natural disasters authors - Indirect.xlsx,Economic development and losses due to natural disasters: The role of hazard exposure,https://doi.org/10.1016/j.ecolecon.2011.09.002,26876,10.1016/j.ecolecon.2011.09.002,Economic development and losses due to natural disasters: The role of hazard exposure,full_text,106,72,,97,105,8
63,3197,106,12. Natural disasters authors - Indirect.xlsx,Fiscal decentralization and natural hazard risks,https://doi.org/10.1007/s11127-010-9740-4,27056,10.1007/s11127-010-9740-4,Fiscal decentralization and natural hazard risks,full_text,33,151,1-2,165,183,18
64,3206,107,12. Natural disasters authors - Indirect.xlsx,The economic growth impact of natural disasters in developing countries,https://doi.org/10.1016/j.jdeveco.2010.12.002,27150,10.1016/j.jdeveco.2010.12.002,The economic growth impact of natural disasters in developing countries: Evidence from hurricane strikes in the Central American and Caribbean regions,full_text,191,97,1,130,141,11
65,3300,109,12. Natural disasters authors - Indirect.xlsx,The political economy of natural disaster damage,https://doi.org/10.1016/j.gloenvcha.2013.03.011,27331,10.1016/j.gloenvcha.2013.03.011,The political economy of natural disaster damage,full_text,119,24,,8,19,11
66,3315,110,12. Natural disasters authors - Indirect.xlsx,THE GROWTH AFTERMATH OF NATURAL DISASTERS,https://doi.org/10.1002/jae.1273,27417,10.1002/jae.1273,THE GROWTH AFTERMATH OF NATURAL DISASTERS,full_text,143,28,3,412,434,22
67,3347,111,12. Natural disasters authors - Indirect.xlsx,Natural disasters and the effect of trade on income: A new panel IV approach,https://doi.org/10.1016/j.euroecorev.2012.11.008,27502,10.1016/j.euroecorev.2012.11.008,Natural disasters and the effect of trade on income: A new panel IV approach,full_text,49,58,,18,30,12
68,3913,174,12. Natural disasters authors - Indirect.xlsx,Hurricane Fatalities and Hurricane Damages: Are Safer Hurricanes More Damaging?,https://doi.org/10.1002/j.2325-8012.2005.tb00710.x,31958,10.1002/j.2325-8012.2005.tb00710.x,Hurricane Fatalities and Hurricane Damages: Are Safer Hurricanes More Damaging?,full_text,1,72,2,422,432,10
69,4216,184,12. Natural disasters authors - Indirect.xlsx,THE ECONOMICS OF HURRICANES AND IMPLICATIONS OF GLOBAL WARMING,https://doi.org/10.1142/S2010007810000054,32529,10.1142/S2010007810000054,THE ECONOMICS OF HURRICANES AND IMPLICATIONS OF GLOBAL WARMING,full_text,152,01,01,1,20,19
70,4231,185,12. Natural disasters authors - Indirect.xlsx,"Precipitation and Damaging Floods: Trends in the United States, 1932–97",https://doi.org/10.1175/1520-0442(2000)013<3625:PADFTI>2.0.CO;2,32587,10.1175/1520-0442(2000)013<3625:PADFTI>2.0.CO;2,"Precipitation and Damaging Floods: Trends in the United States, 1932–97",full_text,218,13,20,3625,3637,12
71,4329,190,12. Natural disasters authors - Indirect.xlsx,Does the exchange rate regime matter for real shocks? Evidence from windstorms and earthquakes,https://doi.org/10.1016/j.jinteco.2006.12.004,32855,10.1016/j.jinteco.2006.12.004,Does the exchange rate regime matter for real shocks? Evidence from windstorms and earthquakes,full_text,50,73,1,31,47,16
72,4631,6,12. Natural disasters authors.xlsx,The macroeconomic consequences of disasters,https://doi.org/10.1016/j.jdeveco.2008.02.005,2731,10.1016/j.jdeveco.2008.02.005,The macroeconomic consequences of disasters,full_text,578,88,2,221,231,10
73,4679,13,12. Natural disasters authors.xlsx,"The death toll from natural disasters: the role of income, geography, and institutions",https://doi.org/10.1162/0034653053970339,6322,10.1162/0034653053970339,"The Death Toll from Natural Disasters: The Role of Income, Geography, and Institutions",full_text,699,87,2,271,284,13
74,4704,18,12. Natural disasters authors.xlsx,Does rising income increase or decrease damage risk from natural disasters?,https://doi.org/10.1016/j.jue.2007.05.003,8644,10.1016/j.jue.2007.05.003,Does rising income increase or decrease damage risk from natural disasters?,full_text,244,63,3,788,802,14
75,4799,33,12. Natural disasters authors.xlsx,DO NATURAL DISASTERS PROMOTE LONG-RUN GROWTH?,https://doi.org/10.1093/ei/40.4.664,14339,10.1093/ei/40.4.664,DO NATURAL DISASTERS PROMOTE LONG-RUN GROWTH?,full_text,510,40,4,664,687,23
76,4843,34,12. Natural disasters authors.xlsx,"The open society assesses its enemies: shocks, disasters and terrorist attacks",https://doi.org/10.1016/j.jmoneco.2004.04.009,14658,10.1016/j.jmoneco.2004.04.009,"The open society assesses its enemies: shocks, disasters and terrorist attacks",full_text,198,51,5,1039,1070,31
77,4888,38,12. Natural disasters authors.xlsx,Natural Disasters and Growth: Going Beyond the Averages,https://doi.org/10.1016/j.worlddev.2012.03.002,15861,10.1016/j.worlddev.2012.03.002,Natural Disasters and Growth: Going Beyond the Averages,full_text,320,40,7,1317,1336,19
78,4928,39,12. Natural disasters authors.xlsx,The Economic Growth Impact of Hurricanes: Evidence from U.S. Coastal Counties,https://doi.org/10.1162/REST_a_00082,16159,10.1162/REST_a_00082,The Economic Growth Impact of Hurricanes: Evidence from U.S. Coastal Counties,full_text,233,93,2,575,589,14
79,4938,42,12. Natural disasters authors.xlsx,Catastrophic natural disasters and economic growth,https://doi.org/10.1162/REST_a_00413,17018,10.1162/REST_a_00413,Catastrophic Natural Disasters and Economic Growth,full_text,529,95,5,1549,1561,12
80,4974,48,12. Natural disasters authors.xlsx,Earthquake fatalities: the interaction of nature and political economy,https://doi.org/10.1016/j.jpubeco.2004.08.002,18598,10.1016/j.jpubeco.2004.08.002,Earthquake fatalities: the interaction of nature and political economy,full_text,193,89,9-10,1907,1933,26
81,4986,49,12. Natural disasters authors.xlsx,Public sector corruption and major earthquakes: A potentially deadly interaction,https://doi.org/10.1007/s11127-007-9148-y,18836,10.1007/s11127-007-9148-y,Public sector corruption and major earthquakes: A potentially deadly interaction,full_text,112,132,1-2,209,230,21
82,5006,88,12. Natural disasters authors.xlsx,The economics of natural disasters in a developing country: The case of Vietnam,https://doi.org/10.1016/j.asieco.2010.03.002,25195,10.1016/j.asieco.2010.03.002,The economics of natural disasters in a developing country: The case of Vietnam,full_text,102,21,4,345,354,9
83,5178,101,12. Natural disasters authors.xlsx,n analysis of coastal and inland fatalities in landfalling US hurricanes.,https://doi.org/10.1007/s11069-011-9849-x,26600,10.1007/s11069-011-9849-x,An analysis of coastal and inland fatalities in landfalling US hurricanes,full_text,51,59,3,1513,1531,18
84,5184,103,12. Natural disasters authors.xlsx,Earthquake Propensity and the Politics of Mortality Prevention,https://doi.org/10.1016/j.worlddev.2011.02.010,26786,10.1016/j.worlddev.2011.02.010,Earthquake Propensity and the Politics of Mortality Prevention,full_text,93,39,9,1530,1541,11
85,5194,104,12. Natural disasters authors.xlsx,Economic development and losses due to natural disasters: The role of hazard exposure,https://doi.org/10.1016/j.ecolecon.2011.09.002,26877,10.1016/j.ecolecon.2011.09.002,Economic development and losses due to natural disasters: The role of hazard exposure,full_text,106,72,,97,105,8
86,5196,106,12. Natural disasters authors.xlsx,Fiscal decentralization and natural hazard risks,https://doi.org/10.1007/s11127-010-9740-4,27057,10.1007/s11127-010-9740-4,Fiscal decentralization and natural hazard risks,full_text,33,151,1-2,165,183,18
87,5205,107,12. Natural disasters authors.xlsx,The economic growth impact of natural disasters in developing countries,https://doi.org/10.1016/j.jdeveco.2010.12.002,27151,10.1016/j.jdeveco.2010.12.002,The economic growth impact of natural disasters in developing countries: Evidence from hurricane strikes in the Central American and Caribbean regions,full_text,191,97,1,130,141,11
88,5299,109,12. Natural disasters authors.xlsx,The political economy of natural disaster damage,https://doi.org/10.1016/j.gloenvcha.2013.03.011,27332,10.1016/j.gloenvcha.2013.03.011,The political economy of natural disaster damage,full_text,119,24,,8,19,11
89,5314,110,12. Natural disasters authors.xlsx,THE GROWTH AFTERMATH OF NATURAL DISASTERS,https://doi.org/10.1002/jae.1273,27418,10.1002/jae.1273,THE GROWTH AFTERMATH OF NATURAL DISASTERS,full_text,143,28,3,412,434,22
90,5346,111,12. Natural disasters authors.xlsx,Natural disasters and the effect of trade on income: A new panel IV approach,https://doi.org/10.1016/j.euroecorev.2012.11.008,27503,10.1016/j.euroecorev.2012.11.008,Natural disasters and the effect of trade on income: A new panel IV approach,full_text,49,58,,18,30,12
91,5912,174,12. Natural disasters authors.xlsx,Hurricane Fatalities and Hurricane Damages: Are Safer Hurricanes More Damaging?,https://doi.org/10.1002/j.2325-8012.2005.tb00710.x,31959,10.1002/j.2325-8012.2005.tb00710.x,Hurricane Fatalities and Hurricane Damages: Are Safer Hurricanes More Damaging?,full_text,1,72,2,422,432,10
92,6215,184,12. Natural disasters authors.xlsx,THE ECONOMICS OF HURRICANES AND IMPLICATIONS OF GLOBAL WARMING,https://doi.org/10.1142/S2010007810000054,32530,10.1142/S2010007810000054,THE ECONOMICS OF HURRICANES AND IMPLICATIONS OF GLOBAL WARMING,full_text,152,01,01,1,20,19
93,6230,185,12. Natural disasters authors.xlsx,"Precipitation and Damaging Floods: Trends in the United States, 1932–97",https://doi.org/10.1175/1520-0442(2000)013<3625:PADFTI>2.0.CO;2,32588,10.1175/1520-0442(2000)013<3625:PADFTI>2.0.CO;2,"Precipitation and Damaging Floods: Trends in the United States, 1932–97",full_text,218,13,20,3625,3637,12
94,6328,190,12. Natural disasters authors.xlsx,Does the exchange rate regime matter for real shocks? Evidence from windstorms and earthquakes,https://doi.org/10.1016/j.jinteco.2006.12.004,32856,10.1016/j.jinteco.2006.12.004,Does the exchange rate regime matter for real shocks? Evidence from windstorms and earthquakes,full_text,50,73,1,31,47,16
95,6619,1,13.Education & Inequality journals.xlsx,"Inequality, Poverty and Development",https://doi.org/10.1016/0304-3878(76)90027-4,6,10.1016/0304-3878(76)90027-4,"Inequality, poverty and development",full_text,293,3,4,307,342,35
96,6677,4,13.Education & Inequality journals.xlsx,Income Inequality and Economic Freedom ,DOI 10.1007/s11127-007-9230-5,1638,DOI 10.1007/s11127-007-9230-5,,,,,,,,
97,6689,5,13.Education & Inequality journals.xlsx,Inequality and Growth in a Panel of Countries,https://doi.org/10.1023/A:1009850119329,2182,10.1023/A:1009850119329,,full_text,1177,5,1,5,32,27
98,6710,6,13.Education & Inequality journals.xlsx,"Finance, Inequality and the Poor",https://doi.org/10.1007/s10887-007-9010-6,2732,10.1007/s10887-007-9010-6,"Finance, inequality and the poor",full_text,902,12,1,27,49,22
99,6722,7,13.Education & Inequality journals.xlsx,"Income Distribution, Development and Foreign Trade A Cross Sectional Analysis",https://doi.org/10.1016/0014-2921(90)90071-6,3269,10.1016/0014-2921(90)90071-6,"Income distribution, development and foreign trade",full_text,110,34,6,1113,1132,19
100,6750,9,13.Education & Inequality journals.xlsx,Income Inequality and Macroeconomic Volatility: An empirical investigation,https://doi.org/10.1111/j.1467-9361.2005.00283.x,4313,10.1111/j.1467-9361.2005.00283.x,Income Inequality and Macroeconomic Volatility: An Empirical Investigation,full_text,60,9,3,380,398,18
101,6766,10,13.Education & Inequality journals.xlsx,"Corruption, economic growth, and income inequality in Africa",https://doi.org/10.1007/s101010200045,4828,10.1007/s101010200045,"Corruption, economic growth, and income inequality in Africa",full_text,267,3,3,183,209,26
